(0.439595,-0.138913)
(-0.476182,-0.546937)
(-0.48867,0.424253)
(-0.401843,-0.416437)
(-0.0131257,-0.541496)
(-0.964262,0.0356234)
(-0.233682,0.13169)
(-0.118511,0.533996)
(0.249263,-0.924918)
(-0.206732,-0.278124)
(0.706308,0.462324)
(-0.880124,0.358052)
(0.0331683,0.0983843)
(0.00214395,0.976536)
(-0.144183,0.676711)
(0.44481,0.0980157)
(-0.66626,-0.748429)
(-0.370224,0.084295)
(0.851579,-0.23444)
(0.14564,0.902059)
(0.215715,0.135205)
(0.852356,-0.000792901)
(0.495738,0.650189)
(-0.0305075,-0.19621)
(-0.758545,0.310187)
(0.442929,0.116998)
(0.305734,-0.26509)
(0.0537031,-0.472199)
(-0.174904,0.660005)
(0.00768145,-0.0903147)
(-0.690866,-0.0754111)
(-0.510559,-0.346526)
(-0.151227,-0.603131)
(-0.201195,1)
(0.279196,0.0447862)
(1.02417,-0.0137346)
(-0.465509,-0.321092)
(0.232561,-0.62761)
(0.706387,-0.513994)
(-0.303396,-0.75698)
(0.0467959,0.470351)
(-0.888747,0.229077)
(0.00590096,-0.531551)
(0.179023,0.40087)
(0.777016,0.088651)
(-0.237085,-0.0784403)
(0.18855,0.526635)
(-0.0900538,0.519313)
(0.0419488,0.359563)
(0.384361,0.19063)
(-0.374162,0.460247)
(0.163985,-0.00326317)
(-0.35756,-0.499217)
(0.471583,-0.0120172)
(0.578882,0.0335725)
(0.0462487,-0.81879)
(-0.108603,0.187784)
(-0.786809,0.0596241)
(0.501113,0.214711)
(0.251617,0.405496)
(-0.304173,0.769349)
(0.0112288,-0.515441)
(-0.398215,0.209724)
(-0.718197,0.142693)
(-0.779951,0.0186975)
(0.0822351,0.49076)
(0.000911355,-0.709998)
(-0.175757,0.0799512)
(0.14443,0.227857)
(0.232521,0.550231)
(-0.308142,-0.237146)
(0.100549,-0.172677)
(0.190346,-0.340128)
(0.202097,0.499292)
(0.476823,0.0172903)
(0.231443,-0.59238)
(0.0494288,0.460358)
(-0.599568,0.608139)
(-0.0394882,0.0294387)
(0.758099,0.357321)
(0.055885,0.492361)
(0.370461,0.0102358)
(-0.65562,0.11732)
(0.548424,-0.647662)
(0.115335,-0.455047)
(-0.587555,-0.259427)
(0.260024,0.632309)
(0.0136336,-0.0438681)
(-0.822861,0.198233)
(-0.623439,0.365441)
(-0.113625,-0.227471)
(0.653175,0.534498)
(-0.611456,-0.0164994)
(-0.00682389,-0.163786)
(0.100044,-0.764409)
(0.335038,0.437218)
(0.233558,0.284103)
(0.664102,0.0616403)
(-0.183245,-0.141272)
(0.65558,-0.846316)
(0.045708,0.299576)
(-0.7971,-0.238884)
(-0.67621,0.0563508)
(0.735907,0.307738)
(-0.49053,-0.44541)
(-0.196073,-0.767281)
(-0.197286,-0.802993)
(0.208859,0.0728008)
(0.531217,-0.521223)
(-0.531494,-0.694402)
(0.143684,0.0915048)
(-0.0827601,0.801451)
(-0.110245,-0.505671)
(0.426737,-0.460278)
(0.755936,-0.506231)
(-0.0252598,0.00475981)
(0.737946,0.543433)
(-0.0273688,-0.672158)
(-0.3879,0.557476)
(-0.706587,0.216822)
(-0.114642,-0.556648)
(-0.00836291,0.414781)
(0.65607,0.314758)
(0.483855,0.576544)
(-0.38989,0.268209)
(0.854372,-0.629783)
(0.344012,0.0757199)
(-0.306126,-0.479685)
(-0.665493,0.564594)
(0.223155,-0.0614589)
(-0.289334,-0.63621)
(0.241383,-0.659734)
(-0.0455801,-0.0199931)
(-0.605733,-0.816961)
(0.115748,-0.542241)
(-0.668797,0.351236)
(0.400899,0.364842)
(0.243947,-0.133104)
(-0.384188,0.242565)
(-0.488468,-0.217365)
(-0.610128,-0.11515)
(0.0371541,-0.0406902)
(-0.181867,-0.903587)
(-0.665464,-0.46255)
(0.362899,-0.184718)
(-0.576595,0.675818)
(-0.255859,-0.50623)
(0.328673,0.214722)
(0.614527,-0.875278)
(-0.0749032,-0.0978147)
(1.04913,0.0359469)
(0.0902047,-0.202111)
(0.152693,0.462629)
(-0.65273,-0.372434)
(0.324898,-0.330605)
(-0.412574,0.521865)
(0.614668,0.462761)
(-0.129942,-0.0223603)
(0.0499942,0.284333)
(-0.434371,0.480325)
(-0.0768457,0.394773)
(0.191513,0.206099)
(-0.188604,-0.48018)
(-0.440745,0.134204)
(0.777725,0.00281524)
(-0.027891,0.723473)
(0.307927,0.274917)
(0.397437,0.326607)
(0.417679,0.72057)
(0.166897,0.0108313)
(-0.674662,0.311432)
(0.0617528,0.372826)
(0.337678,-0.362937)
(0.743358,0.0511862)
(0.267396,0.417545)
(-0.0453359,-0.698251)
(0.267283,0.276785)
(-0.405652,0.337753)
(-0.00819142,0.677817)
(0.549932,0.0567075)
(-0.114496,0.347989)
(-0.189638,-0.554813)
(-0.30451,0.784602)
(-0.426089,0.0869278)
(-1.00114,0.00336328)
(-0.409355,0.254901)
(0.0265712,-0.460107)
(0.11056,0.859116)
(-0.115576,0.452725)
(0.773007,-0.0515021)
(-0.687204,-0.290348)
(-0.0177639,-0.258762)
(0.266156,-0.436905)
(0.143321,-0.142953)
(0.0561581,0.255213)
(-0.376324,-0.188587)
(-0.0984087,-0.128661)
(-0.0974654,0.328511)
(0.200673,0.277401)
(-0.185163,0.0602066)
(-0.46154,0.228302)
(0.0216485,0.750122)
(-0.0692937,-0.0679903)
(0.750747,0.000360357)
(-0.542623,0.223873)
(-0.179108,-0.199121)
(-0.351517,-0.592827)
(0.214924,0.536354)
(-0.000589719,-0.298774)
(0.723025,-0.0414396)
(0.404432,-0.408874)
(0.31581,-0.523848)
(0.0772665,0.735801)
(-0.162109,-0.196259)
(-0.924368,-0.404841)
(0.346604,-0.0472308)
(0.171964,-0.802156)
(-0.114922,-0.581992)
(0.653038,-0.559432)
(-0.0874796,0.224504)
(0.754451,0.621016)
(0.354954,-0.670468)
(-0.443592,0.0641036)
(-0.891464,-0.33917)
(0.727691,-0.0480359)
(-0.220586,0.358902)
(-0.166373,0.866042)
(-0.39,0.264166)
(-0.476615,0.00514578)
(0.544925,0.721445)
(-0.169052,0)
(0.544925,-0.721445)
(-0.476615,-0.00514578)
(-0.39,-0.264166)
(-0.166373,-0.866042)
(-0.220586,-0.358902)
(0.727691,0.0480359)
(-0.891464,0.33917)
(-0.443592,-0.0641036)
(0.354954,0.670468)
(0.754451,-0.621016)
(-0.0874796,-0.224504)
(0.653038,0.559432)
(-0.114922,0.581992)
(0.171964,0.802156)
(0.346604,0.0472308)
(-0.924368,0.404841)
(-0.162109,0.196259)
(0.0772665,-0.735801)
(0.31581,0.523848)
(0.404432,0.408874)
(0.723025,0.0414396)
(-0.000589719,0.298774)
(0.214924,-0.536354)
(-0.351517,0.592827)
(-0.179108,0.199121)
(-0.542623,-0.223873)
(0.750747,-0.000360357)
(-0.0692937,0.0679903)
(0.0216485,-0.750122)
(-0.46154,-0.228302)
(-0.185163,-0.0602066)
(0.200673,-0.277401)
(-0.0974654,-0.328511)
(-0.0984087,0.128661)
(-0.376324,0.188587)
(0.0561581,-0.255213)
(0.143321,0.142953)
(0.266156,0.436905)
(-0.0177639,0.258762)
(-0.687204,0.290348)
(0.773007,0.0515021)
(-0.115576,-0.452725)
(0.11056,-0.859116)
(0.0265712,0.460107)
(-0.409355,-0.254901)
(-1.00114,-0.00336328)
(-0.426089,-0.0869278)
(-0.30451,-0.784602)
(-0.189638,0.554813)
(-0.114496,-0.347989)
(0.549932,-0.0567075)
(-0.00819142,-0.677817)
(-0.405652,-0.337753)
(0.267283,-0.276785)
(-0.0453359,0.698251)
(0.267396,-0.417545)
(0.743358,-0.0511862)
(0.337678,0.362937)
(0.0617528,-0.372826)
(-0.674662,-0.311432)
(0.166897,-0.0108313)
(0.417679,-0.72057)
(0.397437,-0.326607)
(0.307927,-0.274917)
(-0.027891,-0.723473)
(0.777725,-0.00281524)
(-0.440745,-0.134204)
(-0.188604,0.48018)
(0.191513,-0.206099)
(-0.0768457,-0.394773)
(-0.434371,-0.480325)
(0.0499942,-0.284333)
(-0.129942,0.0223603)
(0.614668,-0.462761)
(-0.412574,-0.521865)
(0.324898,0.330605)
(-0.65273,0.372434)
(0.152693,-0.462629)
(0.0902047,0.202111)
(1.04913,-0.0359469)
(-0.0749032,0.0978147)
(0.614527,0.875278)
(0.328673,-0.214722)
(-0.255859,0.50623)
(-0.576595,-0.675818)
(0.362899,0.184718)
(-0.665464,0.46255)
(-0.181867,0.903587)
(0.0371541,0.0406902)
(-0.610128,0.11515)
(-0.488468,0.217365)
(-0.384188,-0.242565)
(0.243947,0.133104)
(0.400899,-0.364842)
(-0.668797,-0.351236)
(0.115748,0.542241)
(-0.605733,0.816961)
(-0.0455801,0.0199931)
(0.241383,0.659734)
(-0.289334,0.63621)
(0.223155,0.0614589)
(-0.665493,-0.564594)
(-0.306126,0.479685)
(0.344012,-0.0757199)
(0.854372,0.629783)
(-0.38989,-0.268209)
(0.483855,-0.576544)
(0.65607,-0.314758)
(-0.00836291,-0.414781)
(-0.114642,0.556648)
(-0.706587,-0.216822)
(-0.3879,-0.557476)
(-0.0273688,0.672158)
(0.737946,-0.543433)
(-0.0252598,-0.00475981)
(0.755936,0.506231)
(0.426737,0.460278)
(-0.110245,0.505671)
(-0.0827601,-0.801451)
(0.143684,-0.0915048)
(-0.531494,0.694402)
(0.531217,0.521223)
(0.208859,-0.0728008)
(-0.197286,0.802993)
(-0.196073,0.767281)
(-0.49053,0.44541)
(0.735907,-0.307738)
(-0.67621,-0.0563508)
(-0.7971,0.238884)
(0.045708,-0.299576)
(0.65558,0.846316)
(-0.183245,0.141272)
(0.664102,-0.0616403)
(0.233558,-0.284103)
(0.335038,-0.437218)
(0.100044,0.764409)
(-0.00682389,0.163786)
(-0.611456,0.0164994)
(0.653175,-0.534498)
(-0.113625,0.227471)
(-0.623439,-0.365441)
(-0.822861,-0.198233)
(0.0136336,0.0438681)
(0.260024,-0.632309)
(-0.587555,0.259427)
(0.115335,0.455047)
(0.548424,0.647662)
(-0.65562,-0.11732)
(0.370461,-0.0102358)
(0.055885,-0.492361)
(0.758099,-0.357321)
(-0.0394882,-0.0294387)
(-0.599568,-0.608139)
(0.0494288,-0.460358)
(0.231443,0.59238)
(0.476823,-0.0172903)
(0.202097,-0.499292)
(0.190346,0.340128)
(0.100549,0.172677)
(-0.308142,0.237146)
(0.232521,-0.550231)
(0.14443,-0.227857)
(-0.175757,-0.0799512)
(0.000911355,0.709998)
(0.0822351,-0.49076)
(-0.779951,-0.0186975)
(-0.718197,-0.142693)
(-0.398215,-0.209724)
(0.0112288,0.515441)
(-0.304173,-0.769349)
(0.251617,-0.405496)
(0.501113,-0.214711)
(-0.786809,-0.0596241)
(-0.108603,-0.187784)
(0.0462487,0.81879)
(0.578882,-0.0335725)
(0.471583,0.0120172)
(-0.35756,0.499217)
(0.163985,0.00326317)
(-0.374162,-0.460247)
(0.384361,-0.19063)
(0.0419488,-0.359563)
(-0.0900538,-0.519313)
(0.18855,-0.526635)
(-0.237085,0.0784403)
(0.777016,-0.088651)
(0.179023,-0.40087)
(0.00590096,0.531551)
(-0.888747,-0.229077)
(0.0467959,-0.470351)
(-0.303396,0.75698)
(0.706387,0.513994)
(0.232561,0.62761)
(-0.465509,0.321092)
(1.02417,0.0137346)
(0.279196,-0.0447862)
(-0.201195,-1)
(-0.151227,0.603131)
(-0.510559,0.346526)
(-0.690866,0.0754111)
(0.00768145,0.0903147)
(-0.174904,-0.660005)
(0.0537031,0.472199)
(0.305734,0.26509)
(0.442929,-0.116998)
(-0.758545,-0.310187)
(-0.0305075,0.19621)
(0.495738,-0.650189)
(0.852356,0.000792901)
(0.215715,-0.135205)
(0.14564,-0.902059)
(0.851579,0.23444)
(-0.370224,-0.084295)
(-0.66626,0.748429)
(0.44481,-0.0980157)
(-0.144183,-0.676711)
(0.00214395,-0.976536)
(0.0331683,-0.0983843)
(-0.880124,-0.358052)
(0.706308,-0.462324)
(-0.206732,0.278124)
(0.249263,0.924918)
(-0.118511,-0.533996)
(-0.233682,-0.13169)
(-0.964262,-0.0356234)
(-0.0131257,0.541496)
(-0.401843,0.416437)
(-0.48867,-0.424253)
(-0.476182,0.546937)
(0.439595,0.138913)
(0.422994,0.601552)
(-0.531493,0.147824)
(-0.00775607,-0.199757)
(-0.151596,-0.537423)
(0.0429458,0.254103)
(0.542626,-0.42146)
(-0.301077,-0.303845)
(0.274398,0.570934)
(-0.517041,0.746464)
(-0.316194,-0.439566)
(0.235319,0.566868)
(0.918,0.0979878)
(0.428264,0.71568)
(-0.162782,0.491385)
(0.979065,-0.246799)
(0.427558,0.168841)
(-0.229771,-0.34069)
(-0.330093,0.889532)
(0.424704,0.403395)
(-0.56924,0.0161157)
(0.534525,-0.699935)
(-0.532174,0.00844255)
(-0.562162,-0.400429)
(-0.221538,-0.799902)
(-0.0607042,0.284349)
(0.845262,0)
(-0.0607042,-0.284349)
(-0.221538,0.799902)
(-0.562162,0.400429)
(-0.532174,-0.00844255)
(0.534525,0.699935)
(-0.56924,-0.0161157)
(0.424704,-0.403395)
(-0.330093,-0.889532)
(-0.229771,0.34069)
(0.427558,-0.168841)
(0.979065,0.246799)
(-0.162782,-0.491385)
(0.428264,-0.71568)
(0.918,-0.0979878)
(0.235319,-0.566868)
(-0.316194,0.439566)
(-0.517041,-0.746464)
(0.274398,-0.570934)
(-0.301077,0.303845)
(0.542626,0.42146)
(0.0429458,-0.254103)
(-0.151596,0.537423)
(-0.00775607,0.199757)
(-0.531493,-0.147824)
(0.422994,-0.601552)
(0.439595,-0.138913)
(-0.476182,-0.546937)
(-0.48867,0.424253)
(-0.401843,-0.416437)
(-0.0131257,-0.541496)
(-0.964262,0.0356234)
(-0.233682,0.13169)
(-0.118511,0.533996)
(0.249263,-0.924918)
(-0.206732,-0.278124)
(0.706308,0.462324)
(-0.880124,0.358052)
(0.0331683,0.0983843)
(0.00214395,0.976536)
(-0.144183,0.676711)
(0.44481,0.0980157)
(-0.66626,-0.748429)
(-0.370224,0.084295)
(0.851579,-0.23444)
(0.14564,0.902059)
(0.215715,0.135205)
(0.852356,-0.000792901)
(0.495738,0.650189)
(-0.0305075,-0.19621)
(-0.758545,0.310187)
(0.442929,0.116998)
(0.305734,-0.26509)
(0.0537031,-0.472199)
(-0.174904,0.660005)
(0.00768145,-0.0903147)
(-0.690866,-0.0754111)
(-0.510559,-0.346526)
(-0.151227,-0.603131)
(-0.201195,1)
(0.279196,0.0447862)
(1.02417,-0.0137346)
(-0.465509,-0.321092)
(0.232561,-0.62761)
(0.706387,-0.513994)
(-0.303396,-0.75698)
(0.0467959,0.470351)
(-0.888747,0.229077)
(0.00590096,-0.531551)
(0.179023,0.40087)
(0.777016,0.088651)
(-0.237085,-0.0784403)
(0.18855,0.526635)
(-0.0900538,0.519313)
(0.0419488,0.359563)
(0.384361,0.19063)
(-0.374162,0.460247)
(0.163985,-0.00326317)
(-0.35756,-0.499217)
(0.471583,-0.0120172)
(0.578882,0.0335725)
(0.0462487,-0.81879)
(-0.108603,0.187784)
(-0.786809,0.0596241)
(0.501113,0.214711)
(0.251617,0.405496)
(-0.304173,0.769349)
(0.0112288,-0.515441)
(-0.398215,0.209724)
(-0.718197,0.142693)
(-0.779951,0.0186975)
(0.0822351,0.49076)
(0.000911355,-0.709998)
(-0.175757,0.0799512)
(0.14443,0.227857)
(0.232521,0.550231)
(-0.308142,-0.237146)
(0.100549,-0.172677)
(0.190346,-0.340128)
(0.202097,0.499292)
(0.476823,0.0172903)
(0.231443,-0.59238)
(0.0494288,0.460358)
(-0.599568,0.608139)
(-0.0394882,0.0294387)
(0.758099,0.357321)
(0.055885,0.492361)
(0.370461,0.0102358)
(-0.65562,0.11732)
(0.548424,-0.647662)
(0.115335,-0.455047)
(-0.587555,-0.259427)
(0.260024,0.632309)
(0.0136336,-0.0438681)
(-0.822861,0.198233)
(-0.623439,0.365441)
(-0.113625,-0.227471)
(0.653175,0.534498)
(-0.611456,-0.0164994)
(-0.00682389,-0.163786)
(0.100044,-0.764409)
(0.335038,0.437218)
(0.233558,0.284103)
(0.664102,0.0616403)
(-0.183245,-0.141272)
(0.65558,-0.846316)
(0.045708,0.299576)
(-0.7971,-0.238884)
(-0.67621,0.0563508)
(0.735907,0.307738)
(-0.49053,-0.44541)
(-0.196073,-0.767281)
(-0.197286,-0.802993)
(0.208859,0.0728008)
(0.531217,-0.521223)
(-0.531494,-0.694402)
(0.143684,0.0915048)
(-0.0827601,0.801451)
(-0.110245,-0.505671)
(0.426737,-0.460278)
(0.755936,-0.506231)
(-0.0252598,0.00475981)
(0.737946,0.543433)
(-0.0273688,-0.672158)
(-0.3879,0.557476)
(-0.706587,0.216822)
(-0.114642,-0.556648)
(-0.00836291,0.414781)
(0.65607,0.314758)
(0.483855,0.576544)
(-0.38989,0.268209)
(0.854372,-0.629783)
(0.344012,0.0757199)
(-0.306126,-0.479685)
(-0.665493,0.564594)
(0.223155,-0.0614589)
(-0.289334,-0.63621)
(0.241383,-0.659734)
(-0.0455801,-0.0199931)
(-0.605733,-0.816961)
(0.115748,-0.542241)
(-0.668797,0.351236)
(0.400899,0.364842)
(0.243947,-0.133104)
(-0.384188,0.242565)
(-0.488468,-0.217365)
(-0.610128,-0.11515)
(0.0371541,-0.0406902)
(-0.181867,-0.903587)
(-0.665464,-0.46255)
(0.362899,-0.184718)
(-0.576595,0.675818)
(-0.255859,-0.50623)
(0.328673,0.214722)
(0.614527,-0.875278)
(-0.0749032,-0.0978147)
(1.04913,0.0359469)
(0.0902047,-0.202111)
(0.152693,0.462629)
(-0.65273,-0.372434)
(0.324898,-0.330605)
(-0.412574,0.521865)
(0.614668,0.462761)
(-0.129942,-0.0223603)
(0.0499942,0.284333)
(-0.434371,0.480325)
(-0.0768457,0.394773)
(0.191513,0.206099)
(-0.188604,-0.48018)
(-0.440745,0.134204)
(0.777725,0.00281524)
(-0.027891,0.723473)
(0.307927,0.274917)
(0.397437,0.326607)
(0.417679,0.72057)
(0.166897,0.0108313)
(-0.674662,0.311432)
(0.0617528,0.372826)
(0.337678,-0.362937)
(0.743358,0.0511862)
(0.267396,0.417545)
(-0.0453359,-0.698251)
(0.267283,0.276785)
(-0.405652,0.337753)
(-0.00819142,0.677817)
(0.549932,0.0567075)
(-0.114496,0.347989)
(-0.189638,-0.554813)
(-0.30451,0.784602)
(-0.426089,0.0869278)
(-1.00114,0.00336328)
(-0.409355,0.254901)
(0.0265712,-0.460107)
(0.11056,0.859116)
(-0.115576,0.452725)
(0.773007,-0.0515021)
(-0.687204,-0.290348)
(-0.0177639,-0.258762)
(0.266156,-0.436905)
(0.143321,-0.142953)
(0.0561581,0.255213)
(-0.376324,-0.188587)
(-0.0984087,-0.128661)
(-0.0974654,0.328511)
(0.200673,0.277401)
(-0.185163,0.0602066)
(-0.46154,0.228302)
(0.0216485,0.750122)
(-0.0692937,-0.0679903)
(0.750747,0.000360357)
(-0.542623,0.223873)
(-0.179108,-0.199121)
(-0.351517,-0.592827)
(0.214924,0.536354)
(-0.000589719,-0.298774)
(0.723025,-0.0414396)
(0.404432,-0.408874)
(0.31581,-0.523848)
(0.0772665,0.735801)
(-0.162109,-0.196259)
(-0.924368,-0.404841)
(0.346604,-0.0472308)
(0.171964,-0.802156)
(-0.114922,-0.581992)
(0.653038,-0.559432)
(-0.0874796,0.224504)
(0.754451,0.621016)
(0.354954,-0.670468)
(-0.443592,0.0641036)
(-0.891464,-0.33917)
(0.727691,-0.0480359)
(-0.220586,0.358902)
(-0.166373,0.866042)
(-0.39,0.264166)
(-0.476615,0.00514578)
(0.544925,0.721445)
(-0.169052,0)
(0.544925,-0.721445)
(-0.476615,-0.00514578)
(-0.39,-0.264166)
(-0.166373,-0.866042)
(-0.220586,-0.358902)
(0.727691,0.0480359)
(-0.891464,0.33917)
(-0.443592,-0.0641036)
(0.354954,0.670468)
(0.754451,-0.621016)
(-0.0874796,-0.224504)
(0.653038,0.559432)
(-0.114922,0.581992)
(0.171964,0.802156)
(0.346604,0.0472308)
(-0.924368,0.404841)
(-0.162109,0.196259)
(0.0772665,-0.735801)
(0.31581,0.523848)
(0.404432,0.408874)
(0.723025,0.0414396)
(-0.000589719,0.298774)
(0.214924,-0.536354)
(-0.351517,0.592827)
(-0.179108,0.199121)
(-0.542623,-0.223873)
(0.750747,-0.000360357)
(-0.0692937,0.0679903)
(0.0216485,-0.750122)
(-0.46154,-0.228302)
(-0.185163,-0.0602066)
(0.200673,-0.277401)
(-0.0974654,-0.328511)
(-0.0984087,0.128661)
(-0.376324,0.188587)
(0.0561581,-0.255213)
(0.143321,0.142953)
(0.266156,0.436905)
(-0.0177639,0.258762)
(-0.687204,0.290348)
(0.773007,0.0515021)
(-0.115576,-0.452725)
(0.11056,-0.859116)
(0.0265712,0.460107)
(-0.409355,-0.254901)
(-1.00114,-0.00336328)
(-0.426089,-0.0869278)
(-0.30451,-0.784602)
(-0.189638,0.554813)
(-0.114496,-0.347989)
(0.549932,-0.0567075)
(-0.00819142,-0.677817)
(-0.405652,-0.337753)
(0.267283,-0.276785)
(-0.0453359,0.698251)
(0.267396,-0.417545)
(0.743358,-0.0511862)
(0.337678,0.362937)
(0.0617528,-0.372826)
(-0.674662,-0.311432)
(0.166897,-0.0108313)
(0.417679,-0.72057)
(0.397437,-0.326607)
(0.307927,-0.274917)
(-0.027891,-0.723473)
(0.777725,-0.00281524)
(-0.440745,-0.134204)
(-0.188604,0.48018)
(0.191513,-0.206099)
(-0.0768457,-0.394773)
(-0.434371,-0.480325)
(0.0499942,-0.284333)
(-0.129942,0.0223603)
(0.614668,-0.462761)
(-0.412574,-0.521865)
(0.324898,0.330605)
(-0.65273,0.372434)
(0.152693,-0.462629)
(0.0902047,0.202111)
(1.04913,-0.0359469)
(-0.0749032,0.0978147)
(0.614527,0.875278)
(0.328673,-0.214722)
(-0.255859,0.50623)
(-0.576595,-0.675818)
(0.362899,0.184718)
(-0.665464,0.46255)
(-0.181867,0.903587)
(0.0371541,0.0406902)
(-0.610128,0.11515)
(-0.488468,0.217365)
(-0.384188,-0.242565)
(0.243947,0.133104)
(0.400899,-0.364842)
(-0.668797,-0.351236)
(0.115748,0.542241)
(-0.605733,0.816961)
(-0.0455801,0.0199931)
(0.241383,0.659734)
(-0.289334,0.63621)
(0.223155,0.0614589)
(-0.665493,-0.564594)
(-0.306126,0.479685)
(0.344012,-0.0757199)
(0.854372,0.629783)
(-0.38989,-0.268209)
(0.483855,-0.576544)
(0.65607,-0.314758)
(-0.00836291,-0.414781)
(-0.114642,0.556648)
(-0.706587,-0.216822)
(-0.3879,-0.557476)
(-0.0273688,0.672158)
(0.737946,-0.543433)
(-0.0252598,-0.00475981)
(0.755936,0.506231)
(0.426737,0.460278)
(-0.110245,0.505671)
(-0.0827601,-0.801451)
(0.143684,-0.0915048)
(-0.531494,0.694402)
(0.531217,0.521223)
(0.208859,-0.0728008)
(-0.197286,0.802993)
(-0.196073,0.767281)
(-0.49053,0.44541)
(0.735907,-0.307738)
(-0.67621,-0.0563508)
(-0.7971,0.238884)
(0.045708,-0.299576)
(0.65558,0.846316)
(-0.183245,0.141272)
(0.664102,-0.0616403)
(0.233558,-0.284103)
(0.335038,-0.437218)
(0.100044,0.764409)
(-0.00682389,0.163786)
(-0.611456,0.0164994)
(0.653175,-0.534498)
(-0.113625,0.227471)
(-0.623439,-0.365441)
(-0.822861,-0.198233)
(0.0136336,0.0438681)
(0.260024,-0.632309)
(-0.587555,0.259427)
(0.115335,0.455047)
(0.548424,0.647662)
(-0.65562,-0.11732)
(0.370461,-0.0102358)
(0.055885,-0.492361)
(0.758099,-0.357321)
(-0.0394882,-0.0294387)
(-0.599568,-0.608139)
(0.0494288,-0.460358)
(0.231443,0.59238)
(0.476823,-0.0172903)
(0.202097,-0.499292)
(0.190346,0.340128)
(0.100549,0.172677)
(-0.308142,0.237146)
(0.232521,-0.550231)
(0.14443,-0.227857)
(-0.175757,-0.0799512)
(0.000911355,0.709998)
(0.0822351,-0.49076)
(-0.779951,-0.0186975)
(-0.718197,-0.142693)
(-0.398215,-0.209724)
(0.0112288,0.515441)
(-0.304173,-0.769349)
(0.251617,-0.405496)
(0.501113,-0.214711)
(-0.786809,-0.0596241)
(-0.108603,-0.187784)
(0.0462487,0.81879)
(0.578882,-0.0335725)
(0.471583,0.0120172)
(-0.35756,0.499217)
(0.163985,0.00326317)
(-0.374162,-0.460247)
(0.384361,-0.19063)
(0.0419488,-0.359563)
(-0.0900538,-0.519313)
(0.18855,-0.526635)
(-0.237085,0.0784403)
(0.777016,-0.088651)
(0.179023,-0.40087)
(0.00590096,0.531551)
(-0.888747,-0.229077)
(0.0467959,-0.470351)
(-0.303396,0.75698)
(0.706387,0.513994)
(0.232561,0.62761)
(-0.465509,0.321092)
(1.02417,0.0137346)
(0.279196,-0.0447862)
(-0.201195,-1)
(-0.151227,0.603131)
(-0.510559,0.346526)
(-0.690866,0.0754111)
(0.00768145,0.0903147)
(-0.174904,-0.660005)
(0.0537031,0.472199)
(0.305734,0.26509)
(0.442929,-0.116998)
(-0.758545,-0.310187)
(-0.0305075,0.19621)
(0.495738,-0.650189)
(0.852356,0.000792901)
(0.215715,-0.135205)
(0.14564,-0.902059)
(0.851579,0.23444)
(-0.370224,-0.084295)
(-0.66626,0.748429)
(0.44481,-0.0980157)
(-0.144183,-0.676711)
(0.00214395,-0.976536)
(0.0331683,-0.0983843)
(-0.880124,-0.358052)
(0.706308,-0.462324)
(-0.206732,0.278124)
(0.249263,0.924918)
(-0.118511,-0.533996)
(-0.233682,-0.13169)
(-0.964262,-0.0356234)
(-0.0131257,0.541496)
(-0.401843,0.416437)
(-0.48867,-0.424253)
(-0.476182,0.546937)
(0.439595,0.138913)
(0.422994,0.601552)
(-0.531493,0.147824)
(-0.00775607,-0.199757)
(-0.151596,-0.537423)
(0.0429458,0.254103)
(0.542626,-0.42146)
(-0.301077,-0.303845)
(0.274398,0.570934)
(-0.517041,0.746464)
(-0.316194,-0.439566)
(0.235319,0.566868)
(0.918,0.0979878)
(0.428264,0.71568)
(-0.162782,0.491385)
(0.979065,-0.246799)
(0.427558,0.168841)
(-0.229771,-0.34069)
(-0.330093,0.889532)
(0.424704,0.403395)
(-0.56924,0.0161157)
(0.534525,-0.699935)
(-0.532174,0.00844255)
(-0.562162,-0.400429)
(-0.221538,-0.799902)
(-0.0607042,0.284349)
(0.845262,0)
(-0.0607042,-0.284349)
(-0.221538,0.799902)
(-0.562162,0.400429)
(-0.532174,-0.00844255)
(0.534525,0.699935)
(-0.56924,-0.0161157)
(0.424704,-0.403395)
(-0.330093,-0.889532)
(-0.229771,0.34069)
(0.427558,-0.168841)
(0.979065,0.246799)
(-0.162782,-0.491385)
(0.428264,-0.71568)
(0.918,-0.0979878)
(0.235319,-0.566868)
(-0.316194,0.439566)
(-0.517041,-0.746464)
(0.274398,-0.570934)
(-0.301077,0.303845)
(0.542626,0.42146)
(0.0429458,-0.254103)
(-0.151596,0.537423)
(-0.00775607,0.199757)
(-0.531493,-0.147824)
(0.422994,-0.601552)
(0.439595,-0.138913)
(-0.476182,-0.546937)
(-0.48867,0.424253)
(-0.401843,-0.416437)
(-0.0131257,-0.541496)
(-0.964262,0.0356234)
(-0.233682,0.13169)
(-0.118511,0.533996)
(0.249263,-0.924918)
(-0.206732,-0.278124)
(0.706308,0.462324)
(-0.880124,0.358052)
(0.0331683,0.0983843)
(0.00214395,0.976536)
(-0.144183,0.676711)
(0.44481,0.0980157)
(-0.66626,-0.748429)
(-0.370224,0.084295)
(0.851579,-0.23444)
(0.14564,0.902059)
(0.215715,0.135205)
(0.852356,-0.000792901)
(0.495738,0.650189)
(-0.0305075,-0.19621)
(-0.758545,0.310187)
(0.442929,0.116998)
